P11150.3	LIPC_HUMAN
Q8WWW0.1	RASF5_HUMAN
Q7RTS3.1	PTF1A_HUMAN
Q6UX06.1	OLFM4_HUMAN
Q6P1J9.1	CDC73_HUMAN
Q6B0K9.1	HBM_HUMAN
Q5SWA1.1	PR15B_HUMAN
Q5JTW2.1	CEP78_HUMAN
Q13501.1	SQSTM_HUMAN
Q9NPF0.1	CD320_HUMAN
Q9HAT2.1	SIAE_HUMAN
Q9BUR5.1	MIC26_HUMAN
Q96GX1.1	TECT2_HUMAN
Q96AD5.1	PLPL2_HUMAN
Q8TBZ6.1	TM10A_HUMAN
Q8NEB9.1	PK3C3_HUMAN
Q8NE86.1	MCU_HUMAN
Q86XI6.1	PPR3B_HUMAN
Q86W33.1	TPRA1_HUMAN
Q9NQR9.1	G6PC2_HUMAN
Q76L83.1	ASXL2_HUMAN
Q6Y7W6.1	GGYF2_HUMAN
Q14520.1	HABP2_HUMAN
P78380.1	OLR1_HUMAN
Q13217.1	DNJC3_HUMAN
P18509.3	PACA_HUMAN
Q92783.3	STAM1_HUMAN
O14964.1	HGS_HUMAN
Q9BYG3.1	MK67I_HUMAN
Q86YT9.1	JAML_HUMAN
Q96DE0.2	NUD16_HUMAN
Q6UUV9.2	CRTC1_HUMAN
Q9HC97.4	GPR35_HUMAN
Q05513.4	KPCZ_HUMAN
O15294.3	OGT1_HUMAN
Q6ZNE5.1	BAKOR_HUMAN
O95800.1	GPR75_HUMAN
Q04206.2	TF65_HUMAN
Q13555.3	KCC2G_HUMAN
O75197.2	LRP5_HUMAN
Q9UN37.1	VPS4A_HUMAN
P16473.2	TSHR_HUMAN
Q9UKG1.1	DP13A_HUMAN
O43916.1	CHST1_HUMAN
P17861.2	XBP1_HUMAN
O75695.4	XRP2_HUMAN
P32245.2	MC4R_HUMAN
P31749.2	AKT1_HUMAN
P42765.2	THIM_HUMAN
Q9NZN4.2	EHD2_HUMAN
P68871.2	HBB_HUMAN
P52789.2	HXK2_HUMAN
Q99497.2	PARK7_HUMAN
P28907.2	CD38_HUMAN
P84243.2	H33_HUMAN
P68431.2	H31_HUMAN
Q8WWA0.1	ITLN1_HUMAN
O94972.2	TRI37_HUMAN
P63096.2	GNAI1_HUMAN
P63092.1	GNAS2_HUMAN
P63104.1	1433Z_HUMAN
P20823.2	HNF1A_HUMAN
Q6ZVN8.1	RGMC_HUMAN
P28340.2	DPOD1_HUMAN
Q9NS23.1	RASF1_HUMAN
Q8N0X7.1	SPG20_HUMAN
Q9GZU1.1	MCLN1_HUMAN
Q8N2G8.2	GHDC_HUMAN
Q9BUN8.1	DERL1_HUMAN
Q9Y4X0.1	AMMR1_HUMAN
P40763.2	STAT3_HUMAN
P61964.1	WDR5_HUMAN
P61812.1	TGFB2_HUMAN
P61978.1	HNRPK_HUMAN
Q9NP59.1	S40A1_HUMAN
P61371.1	ISL1_HUMAN
P78356.1	PI42B_HUMAN
P61266.1	STX1B_HUMAN
Q13188.2	STK3_HUMAN
P24298.3	ALAT1_HUMAN
Q8N122.1	RPTOR_HUMAN
Q13426.2	XRCC4_HUMAN
Q969X6.1	UTP4_HUMAN
Q92484.2	ASM3A_HUMAN
Q9C029.2	TRIM7_HUMAN
Q86W24.1	NAL14_HUMAN
Q96A54.1	ADR1_HUMAN
Q86V24.1	ADR2_HUMAN
O14775.2	GNB5_HUMAN
P55042.2	RAD_HUMAN
Q8IXJ6.2	SIR2_HUMAN
Q12834.2	CDC20_HUMAN
Q9UM11.2	FZR1_HUMAN
Q9UKV5.2	AMFR_HUMAN
O75603.1	GCM2_HUMAN
Q8IXH6.2	T53I2_HUMAN
Q15121.2	PEA15_HUMAN
Q92608.2	DOCK2_HUMAN
Q9NST1.2	PLPL3_HUMAN
P48380.2	RFX3_HUMAN
Q8WUM4.1	PDC6I_HUMAN
Q9H598.2	VIAAT_HUMAN
Q9NQB0.2	TF7L2_HUMAN
O14965.2	AURKA_HUMAN
Q8TE12.1	LMX1A_HUMAN
Q9BU40.1	CRDL1_HUMAN
P16410.3	CTLA4_HUMAN
Q9P104.2	DOK5_HUMAN
O75436.2	VP26A_HUMAN
Q96QK1.2	VPS35_HUMAN
Q9NZ45.1	CISD1_HUMAN
O60784.2	TOM1_HUMAN
Q9Y5C1.1	ANGL3_HUMAN
Q14721.2	KCNB1_HUMAN
Q9UGH3.1	S23A2_HUMAN
Q12933.2	TRAF2_HUMAN
P22413.2	ENPP1_HUMAN
Q93070.2	NAR4_HUMAN
P27658.2	CO8A1_HUMAN
Q9H244.1	P2Y12_HUMAN
Q9Y6I7.1	WSB1_HUMAN
P49841.2	GSK3B_HUMAN
Q9UKK9.1	NUDT5_HUMAN
Q13049.2	TRI32_HUMAN
P54646.2	AAPK2_HUMAN
Q9BW83.1	IFT27_HUMAN
P21980.2	TGM2_HUMAN
Q05084.2	ICA69_HUMAN
Q9UP52.1	TFR2_HUMAN
O15455.1	TLR3_HUMAN
Q9Y2R2.2	PTN22_HUMAN
Q9NVD7.1	PARVA_HUMAN
Q9HD89.1	RETN_HUMAN
Q9UQF2.1	JIP1_HUMAN
Q9H222.1	ABCG5_HUMAN
Q9H221.1	ABCG8_HUMAN
Q13596.3	SNX1_HUMAN
P15692.2	VEGFA_HUMAN
Q99788.2	CML1_HUMAN
P49959.3	MRE11_HUMAN
O43464.2	HTRA2_HUMAN
Q15054.2	DPOD3_HUMAN
Q13064.1	MKRN3_HUMAN
O95528.2	GTR10_HUMAN
P14384.2	CBPM_HUMAN
O00499.1	BIN1_HUMAN
Q9BZS1.1	FOXP3_HUMAN
Q9H0F7.1	ARL6_HUMAN
Q9H479.1	FN3K_HUMAN
Q03135.4	CAV1_HUMAN
Q9UBC0.1	HNF6_HUMAN
Q15596.2	NCOA2_HUMAN
P37231.3	PPARG_HUMAN
Q14457.2	BECN1_HUMAN
Q9NRS6.1	SNX15_HUMAN
Q13043.2	STK4_HUMAN
Q92851.3	CASPA_HUMAN
Q13461.2	FOXE3_HUMAN
P53672.3	CRBA2_HUMAN
P35346.3	SSR5_HUMAN
Q9UI95.2	MD2L2_HUMAN
O60779.2	S19A2_HUMAN
Q9UBP0.1	SPAST_HUMAN
O14901.2	KLF11_HUMAN
Q9UNH7.1	SNX6_HUMAN
O95219.1	SNX4_HUMAN
Q99816.2	TS101_HUMAN
O43819.3	SCO2_HUMAN
Q9Y261.1	FOXA2_HUMAN
Q15382.1	RHEB_HUMAN
P17661.3	DESM_HUMAN
O60733.2	PLPL9_HUMAN
Q99683.1	M3K5_HUMAN
O43612.1	OREX_HUMAN
P35579.4	MYH9_HUMAN
Q13322.2	GRB10_HUMAN
P55072.4	TERA_HUMAN
O14832.1	PAHX_HUMAN
O95096.1	NKX22_HUMAN
O75531.1	BAF_HUMAN
O43823.1	AKAP8_HUMAN
Q13336.2	UT1_HUMAN
P31327.2	CPSM_HUMAN
O15120.1	PLCB_HUMAN
O43316.1	PAX4_HUMAN
O43918.1	AIRE_HUMAN
O43186.1	CRX_HUMAN
Q16654.1	PDK4_HUMAN
O15541.1	R113A_HUMAN
Q07869.2	PPARA_HUMAN
Q15831.1	STK11_HUMAN
Q16568.1	CART_HUMAN
P52757.2	CHIO_HUMAN
Q16853.3	AOC3_HUMAN
Q14814.1	MEF2D_HUMAN
Q06413.1	MEF2C_HUMAN
Q16849.1	PTPRN_HUMAN
Q30201.1	HFE_HUMAN
Q15109.1	RAGE_HUMAN
Q15848.1	ADIPO_HUMAN
P51993.1	FUT6_HUMAN
P51812.1	KS6A3_HUMAN
P50552.3	VASP_HUMAN
P55058.1	PLTP_HUMAN
P52945.1	PDX1_HUMAN
P51161.2	FABP6_HUMAN
P55040.1	GEM_HUMAN
P49711.1	CTCF_HUMAN
P51681.1	CCR5_HUMAN
P48061.1	SDF1_HUMAN
Q05329.1	DCE2_HUMAN
P48436.1	SOX9_HUMAN
P19878.2	NCF2_HUMAN
P47871.1	GLR_HUMAN
P35754.2	GLRX1_HUMAN
P48546.1	GIPR_HUMAN
P16389.2	KCNA2_HUMAN
P43699.1	NKX21_HUMAN
P42166.2	LAP2A_HUMAN
P42338.1	PK3CB_HUMAN
Q02078.1	MEF2A_HUMAN
P31751.2	AKT2_HUMAN
P42345.1	MTOR_HUMAN
P37058.2	DHB3_HUMAN
P46109.1	CRKL_HUMAN
P45452.1	MMP13_HUMAN
P40424.1	PBX1_HUMAN
Q08752.3	PPID_HUMAN
P41181.1	AQP2_HUMAN
P10828.2	THB_HUMAN
Q06609.1	RAD51_HUMAN
P35568.1	IRS1_HUMAN
P35680.1	HNF1B_HUMAN
Q00613.1	HSF1_HUMAN
P13945.3	ADRB3_HUMAN
Q01826.1	SATB1_HUMAN
P32243.1	OTX2_HUMAN
P32239.1	GASR_HUMAN
P32238.1	CCKAR_HUMAN
P30874.1	SSR2_HUMAN
P24752.1	THIL_HUMAN
P04179.2	SODM_HUMAN
P21583.1	SCF_HUMAN
P07225.1	PROS_HUMAN
P10809.2	CH60_HUMAN
P03886.1	NU1M_HUMAN
P01185.2	NEU2_HUMAN
P13500.1	CCL2_HUMAN
P02545.1	LMNA_HUMAN
P12956.2	XRCC6_HUMAN
P06239.6	LCK_HUMAN
P17612.2	KAPCA_HUMAN
P10644.1	KAP0_HUMAN
P01308.1	INS_HUMAN
P01579.1	IFNG_HUMAN
P05112.1	IL4_HUMAN
P01589.1	IL2RA_HUMAN
P18510.1	IL1RA_HUMAN
P05019.1	IGF1_HUMAN
P08069.1	IGF1R_HUMAN
P24593.1	IBP5_HUMAN
P24592.1	IBP6_HUMAN
P22692.2	IBP4_HUMAN
P08833.1	IBP1_HUMAN
P10997.1	IAPP_HUMAN
P17096.3	HMGA1_HUMAN
P09429.3	HMGB1_HUMAN
P07686.3	HEXB_HUMAN
P04440.1	DPB1_HUMAN
P16104.2	H2AX_HUMAN
P14672.1	GTR4_HUMAN
P11168.1	GTR2_HUMAN
P23771.1	GATA3_HUMAN
P12319.1	FCERA_HUMAN
P06734.1	FCER2_HUMAN
P12104.2	FABPI_HUMAN
P14921.1	ETS1_HUMAN
P01588.1	EPO_HUMAN
P19235.1	EPOR_HUMAN
P20393.1	NR1D1_HUMAN
P15559.1	NQO1_HUMAN
P05091.2	ALDH2_HUMAN
P16220.2	CREB1_HUMAN
P13987.1	CD59_HUMAN
P06702.1	S10A9_HUMAN
P05109.1	S10A8_HUMAN
P06576.3	ATPB_HUMAN
P08133.3	ANXA6_HUMAN
P03950.1	ANGI_HUMAN
P12821.1	ACE_HUMAN
P21580.1	TNAP3_HUMAN
C9JRZ8.2	AK1BF_HUMAN
O14686.2	KMT2D_HUMAN
Q7Z4L5.2	TT21B_HUMAN
Q8TAM2.2	TTC8_HUMAN
Q16821.3	PPR3A_HUMAN
Q9ULX6.3	AKP8L_HUMAN
Q8TDJ6.2	DMXL2_HUMAN
P50148.4	GNAQ_HUMAN
Q8NEZ4.3	KMT2C_HUMAN
Q92995.2	UBP13_HUMAN
O14492.2	SH2B2_HUMAN
A8MTJ3.2	GNAT3_HUMAN
Q53ET0.2	CRTC2_HUMAN
A6NDG6.1	PGP_HUMAN
Q9C0B1.3	FTO_HUMAN
Q9UBY8.3	CLN8_HUMAN
Q96C12.2	ARMC5_HUMAN
Q92806.2	KCNJ9_HUMAN
O60337.2	MARH6_HUMAN
P51854.2	TKTL1_HUMAN
Q5JWF2.2	GNAS1_HUMAN
Q86TI0.2	TBCD1_HUMAN
Q9HC10.3	OTOF_HUMAN
Q14686.3	NCOA6_HUMAN
Q96AE4.3	FUBP1_HUMAN
Q8TAM1.2	BBS10_HUMAN
Q6EEV6.2	SUMO4_HUMAN
Q9H4I9.1	EMRE_HUMAN
Q9H2G4.1	TSYL2_HUMAN
Q96AQ8.1	MCUR1_HUMAN
Q6P9H5.1	GIMA6_HUMAN
Q8TD30.1	ALAT2_HUMAN
Q5H9S7.1	DCA17_HUMAN
Q86VN1.1	VPS36_HUMAN
O60343.2	TBCD4_HUMAN
Q8NET8.2	TRPV3_HUMAN
Q8NB49.3	AT11C_HUMAN
Q92878.1	RAD50_HUMAN
Q6Q788.1	APOA5_HUMAN
O75390.2	CISY_HUMAN
O42043.2	ENK18_HUMAN
Q9Y692.2	GMEB1_HUMAN
O95340.2	PAPS2_HUMAN
P05771.4	KPCB_HUMAN
Q9NPJ1.1	MKKS_HUMAN
O43511.1	S26A4_HUMAN
O60238.1	BNI3L_HUMAN
P17174.3	AATC_HUMAN
O43741.1	AAKB2_HUMAN
O14520.1	AQP7_HUMAN
P22466.3	GALA_HUMAN
Q15031.2	SYLM_HUMAN
Q15404.3	RSU1_HUMAN
Q06455.2	MTG8_HUMAN
P42167.2	LAP2B_HUMAN
Q00534.1	CDK6_HUMAN
P11441.1	UBL4A_HUMAN
P10301.1	RRAS_HUMAN
P04899.3	GNAI2_HUMAN
Q9HC96.2	CAN10_HUMAN
Q6ZW61.2	BBS12_HUMAN
O60673.2	REV3L_HUMAN
Q3SYG4.1	PTHB1_HUMAN
Q8IWZ6.2	BBS7_HUMAN
Q7Z5Q5.2	DPOLN_HUMAN
Q8N3I7.1	BBS5_HUMAN
Q7L5D6.1	GET4_HUMAN
P62633.1	CNBP_HUMAN
Q06210.3	GFPT1_HUMAN
O75398.1	DEAF1_HUMAN
Q9BXC9.1	BBS2_HUMAN
P02794.2	FRIH_HUMAN
P0DI81.1	TPC2A_HUMAN
Q14397.6	GCKR_HUMAN
Q9BX66.3	SRBS1_HUMAN
Q9BRF8.3	CPPED_HUMAN
O14960.2	LECT2_HUMAN
Q9NRF2.3	SH2B1_HUMAN
P09467.5	F16P1_HUMAN
Q9NQV5.2	PRD11_HUMAN
Q92543.2	SNX19_HUMAN
Q9HCR9.2	PDE11_HUMAN
P48544.2	KCNJ5_HUMAN
Q9GZT6.2	CC90B_HUMAN
Q9UN79.3	SOX13_HUMAN
Q9BUN5.2	CC28B_HUMAN
O60907.3	TBL1X_HUMAN
P20073.3	ANXA7_HUMAN
P16260.3	GDC_HUMAN
A8MTZ0.2	BBIP1_HUMAN
Q9NYZ2.2	MFRN1_HUMAN
O95876.2	FRITZ_HUMAN
Q6UUV7.2	CRTC3_HUMAN
P51451.3	BLK_HUMAN
Q15648.4	MED1_HUMAN
Q96Q06.2	PLIN4_HUMAN
Q7L1T6.1	NB5R4_HUMAN
Q8N0S2.2	SYCE1_HUMAN
Q14849.2	STAR3_HUMAN
Q96RG2.3	PASK_HUMAN
O15078.2	CE290_HUMAN
Q96LK0.2	CEP19_HUMAN
Q9NQW6.2	ANLN_HUMAN
Q6ZVD7.2	STOX1_HUMAN
O14654.1	IRS4_HUMAN
Q96IX5.1	USMG5_HUMAN
Q86YS7.1	C2CD5_HUMAN
Q6IMN6.1	CAPR2_HUMAN
Q5VV42.1	CDKAL_HUMAN
Q6UXH0.1	ANGL8_HUMAN
Q9Y5U9.1	IR3IP_HUMAN
Q9NQ48.1	LZTL1_HUMAN
Q96NL8.1	CH037_HUMAN
Q96IJ6.1	GMPPA_HUMAN
Q8NCK7.1	MOT11_HUMAN
Q8N5K1.1	CISD2_HUMAN
Q7RTY0.1	MOT13_HUMAN
Q86SQ7.1	SDCG8_HUMAN
Q7LBR1.1	CHM1B_HUMAN
P25874.3	UCP1_HUMAN
Q8N4Q1.1	MIA40_HUMAN
Q9Y253.1	POLH_HUMAN
Q6NZI2.1	PTRF_HUMAN
Q9H8S9.4	MOB1A_HUMAN
Q7L9L4.3	MOB1B_HUMAN
Q86W56.1	PARG_HUMAN
Q14184.1	DOC2B_HUMAN
Q8N428.2	GLT16_HUMAN
P41279.2	M3K8_HUMAN
Q96LB3.1	IFT74_HUMAN
Q9HA64.2	KT3K_HUMAN
Q9NSP4.1	CENPM_HUMAN
Q8N1E2.1	LYG1_HUMAN
Q86SG7.2	LYG2_HUMAN
Q15649.2	ZNHI3_HUMAN
Q9Y223.1	GLCNE_HUMAN
Q16518.3	RPE65_HUMAN
Q8NFJ9.1	BBS1_HUMAN
O95263.2	PDE8B_HUMAN
Q9NWW5.1	CLN6_HUMAN
Q9HAN9.1	NMNA1_HUMAN
Q9UKE5.1	TNIK_HUMAN
P49447.2	CY561_HUMAN
Q9UBQ0.1	VPS29_HUMAN
Q9H2X6.2	HIPK2_HUMAN
Q96AQ7.1	CIDEC_HUMAN
Q9UQQ2.2	SH2B3_HUMAN
Q9UK41.1	VPS28_HUMAN
P49840.2	GSK3A_HUMAN
O60493.3	SNX3_HUMAN
P81172.2	HEPC_HUMAN
Q9Y463.1	DYR1B_HUMAN
O95822.3	DCMC_HUMAN
Q99969.1	RARR2_HUMAN
Q16595.2	FRDA_HUMAN
O15379.2	HDAC3_HUMAN
Q14140.1	SRTD2_HUMAN
P53778.3	MK12_HUMAN
P55916.1	UCP3_HUMAN
P55851.1	UCP2_HUMAN
P53990.1	IST1_HUMAN
P48051.1	KCNJ6_HUMAN
P49005.1	DPOD2_HUMAN
P49366.1	DHYS_HUMAN
P13807.2	GYS1_HUMAN
P41236.2	IPP2_HUMAN
P00439.1	PH4H_HUMAN
P13236.1	CCL4_HUMAN
P00995.2	ISK1_HUMAN
P10145.1	IL8_HUMAN
P16930.2	FAAA_HUMAN
P14138.1	EDN3_HUMAN
P04118.2	COL_HUMAN
P08758.2	ANXA5_HUMAN
P14550.3	AK1A1_HUMAN
O94986.4	CE152_HUMAN
Q9BQI5.2	SGIP1_HUMAN
O00141.2	SGK1_HUMAN
Q96H20.1	SNF8_HUMAN
P62140.3	PP1B_HUMAN
P84996.1	ALEX_HUMAN
O95467.1	GNAS3_HUMAN
O43768.1	ENSA_HUMAN
P31749.2	AKT1_HUMAN
O15392.3	BIRC5_HUMAN
P02649.1	APOE_HUMAN
P05067.3	A4_HUMAN
P10275.3	ANDR_HUMAN
P10415.2	BCL2_HUMAN
P23560.1	BDNF_HUMAN
P01730.1	CD4_HUMAN
P38936.3	CDN1A_HUMAN
P42771.2	CDN2A_HUMAN
Q8N726.2	ARF_HUMAN
P13569.3	CFTR_HUMAN
P51681.1	CCR5_HUMAN
P21964.2	COMT_HUMAN
P02741.1	CRP_HUMAN
P35222.1	CTNB1_HUMAN
P12821.1	ACE_HUMAN
P00533.2	EGFR_HUMAN
P04626.1	ERBB2_HUMAN
P03372.2	ESR1_HUMAN
P00734.2	THRB_HUMAN
P42345.1	MTOR_HUMAN
P09488.3	GSTM1_HUMAN
P09211.2	GSTP1_HUMAN
P30711.4	GSTT1_HUMAN
Q16665.1	HIF1A_HUMAN
Q29940.1	1B59_HUMAN
P30464.2	1B15_HUMAN
P03989.2	1B27_HUMAN
Q95365.1	1B38_HUMAN
Q31612.1	1B73_HUMAN
Q31610.1	1B81_HUMAN
Q29836.1	1B67_HUMAN
Q29718.1	1B82_HUMAN
P30487.2	1B49_HUMAN
Q04826.1	1B40_HUMAN
P30498.1	1B78_HUMAN
P30495.1	1B56_HUMAN
P30493.1	1B55_HUMAN
P30492.1	1B54_HUMAN
P30491.1	1B53_HUMAN
P30490.1	1B52_HUMAN
P30488.1	1B50_HUMAN
P30486.1	1B48_HUMAN
P30485.1	1B47_HUMAN
P30484.1	1B46_HUMAN
P30483.1	1B45_HUMAN
P30481.1	1B44_HUMAN
P30480.1	1B42_HUMAN
P30479.1	1B41_HUMAN
P30475.1	1B39_HUMAN
P30685.1	1B35_HUMAN
P30466.1	1B18_HUMAN
P30462.1	1B14_HUMAN
P30461.1	1B13_HUMAN
P30460.1	1B08_HUMAN
P18465.1	1B57_HUMAN
P18464.1	1B51_HUMAN
P10319.1	1B58_HUMAN
P01889.3	1B07_HUMAN
P18463.1	1B37_HUMAN
Q5Y7A7.1	2B1D_HUMAN
P13760.1	2B14_HUMAN
Q30167.2	2B1A_HUMAN
P01911.2	2B1F_HUMAN
Q29974.1	2B1G_HUMAN
Q9GIY3.1	2B1E_HUMAN
Q95IE3.1	2B1C_HUMAN
P04229.2	2B11_HUMAN
Q9TQE0.1	2B19_HUMAN
Q30134.2	2B18_HUMAN
P01912.2	2B13_HUMAN
P13761.1	2B17_HUMAN
P20039.1	2B1B_HUMAN
P01579.1	IFNG_HUMAN
P05019.1	IGF1_HUMAN
P01584.2	IL1B_HUMAN
P05231.1	IL6_HUMAN
P10145.1	IL8_HUMAN
P22301.1	IL10_HUMAN
P01116.1	RASK_HUMAN
P41159.1	LEP_HUMAN
P10636.5	TAU_HUMAN
P08253.2	MMP2_HUMAN
P14780.3	MMP9_HUMAN
P42898.3	MTHR_HUMAN
P19838.2	NFKB1_HUMAN
P29474.3	NOS3_HUMAN
P60323.1	NANO3_HUMAN
P05121.1	PAI1_HUMAN
P08183.3	MDR1_HUMAN
P27169.3	PON1_HUMAN
P37231.3	PPARG_HUMAN
P28482.3	MK01_HUMAN
P60484.1	PTEN_HUMAN
P35354.2	PGH2_HUMAN
P13500.1	CCL2_HUMAN
P31645.1	SC6A4_HUMAN
P40763.2	STAT3_HUMAN
O14746.1	TERT_HUMAN
P01137.2	TGFB1_HUMAN
O00206.2	TLR4_HUMAN
P01375.1	TNFA_HUMAN
P04637.4	P53_HUMAN
P11473.1	VDR_HUMAN
P15692.2	VEGFA_HUMAN
P61073.1	CXCR4_HUMAN
Q15848.1	ADIPO_HUMAN
